title,price,rating,review
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB) (8 GB RAM)","19,749",4.4,"62,079 Ratings - 4,347 Reviews"
"POCO M6 5G (Orion Blue, 256 GB) (8 GB RAM)","11,999",4.2,"2,439 Ratings - 189 Reviews"
"vivo T2 5G (Nitro Blaze, 128 GB) (6 GB RAM)","15,999",4.4,"1,00,994 Ratings - 6,684 Reviews"
"vivo T2 5G (Velocity Wave, 128 GB) (6 GB RAM)","15,999",4.4,"1,00,994 Ratings - 6,684 Reviews"
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB) (8 GB RAM)","17,544",4.4,"62,079 Ratings - 4,347 Reviews"
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB) (8 GB RAM)","17,549",4.4,"62,079 Ratings - 4,347 Reviews"
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio (Cyan)","1,284",4.1,"94,833 Ratings - 6,132 Reviews"
"realme C51 (Carbon Black, 64 GB) (4 GB RAM)","7,999",4.3,"73,157 Ratings - 3,235 Reviews"
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB) (4 GB RAM)","12,999",4.4,635 Ratings - 90 Reviews
"Nothing Phone (2a) 5G (Black, 256 GB) (12 GB RAM)","27,999",4.5,134 Ratings - 9 Reviews
"realme C51 (Mint Green, 64 GB) (4 GB RAM)","7,999",4.3,"73,157 Ratings - 3,235 Reviews"
"Motorola Edge 40 Neo (Caneel Bay, 128 GB) (8 GB RAM)","22,999",4.3,"33,321 Ratings - 4,212 Reviews"
"MOTOROLA G04 (Concord Black, 64 GB) (4 GB RAM)","6,999",4.2,"1,230 Ratings - 148 Reviews"
"MOTOROLA G04 (Satin Blue, 64 GB) (4 GB RAM)","6,999",4.2,"1,230 Ratings - 148 Reviews"
"POCO C65 (Pastel Green, 128 GB) (4 GB RAM)","7,499",4.2,"8,665 Ratings - 667 Reviews"
"Motorola Edge 40 Neo (Peach Fuzz, 256 GB) (12 GB RAM)","24,999",4.3,"38,676 Ratings - 5,129 Reviews"
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB) (8 GB RAM)","17,895",4.4,"62,079 Ratings - 4,347 Reviews"
"Infinix Note 30 5G (Magic Black, 128 GB) (4 GB RAM)","13,999",4.1,"4,236 Ratings - 444 Reviews"
"REDMI 12 5G (Pastel Blue, 128 GB) (6 GB RAM)","12,999",4.3,"23,214 Ratings - 1,524 Reviews"
"REDMI 12 (Pastel Blue, 128 GB) (4 GB RAM)","9,499",4.3,"95,871 Ratings - 5,239 Reviews"
itel Ace2 Keypad Mobile| 1000 mAh Battery|Expandable Storage 32GB (Black),801,4,"3,489 Ratings - 278 Reviews"
"MOTOROLA g24 Power (Glacier Blue, 128 GB) (4 GB RAM)","7,999",4.2,"1,583 Ratings - 187 Reviews"
"POCO M6 Pro 5G (Power Black, 256 GB) (8 GB RAM)","12,999",4.2,"9,420 Ratings - 835 Reviews"
itel Ace2 Keypad Mobile| 1000 mAh Battery|Expandable Storage 32GB (Deep Blue),810,4,"3,489 Ratings - 278 Reviews"
"REDMI A2 (Aqua Blue, 64 GB) (4 GB RAM)","6,999",4.2,"20,694 Ratings - 1,194 Reviews"
"Motorola g84 5G (Midnight Blue, 256 GB) (12 GB RAM)","17,999",4.2,"34,123 Ratings - 3,553 Reviews"
"POCO M6 5G (Galactic Black, 256 GB) (8 GB RAM)","11,999",4.2,"2,439 Ratings - 189 Reviews"
"MOTOROLA g24 Power (Glacier Blue, 128 GB) (8 GB RAM)","8,999",4.2,"1,539 Ratings - 153 Reviews"
"Infinix Note 30 5G (Interstellar Blue, 256 GB) (8 GB RAM)","14,999",4.2,"87,114 Ratings - 9,509 Reviews"
"Infinix Note 30 5G (Magic Black, 256 GB) (8 GB RAM)","14,999",4.2,"87,114 Ratings - 9,509 Reviews"
"Infinix Note 30 5G (Sunset Gold, 256 GB) (8 GB RAM)","14,999",4.2,"87,114 Ratings - 9,509 Reviews"
"POCO C65 (Pastel Blue, 128 GB) (4 GB RAM)","7,499",4.2,"8,665 Ratings - 667 Reviews"
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio (Charcoal)","1,199",4.1,"94,833 Ratings - 6,132 Reviews"
